Well,Sample,Intensity,Concentration
A1,std,36725,10
A2,std,41874,10
A3,301c1r1,8509,
A4,305c3r1,4676,
A5,312c5r1,4160,
A6,315c1r1,14228,
A7,319c3r1,2312,
A8,320c3r1,5077,
A9,,,
A10,,,
A11,,,
A12,,,
B1,std,22695,5
B2,std,20943,5
B3,301c2r1,15364,
B4,305c4r1,10551,
B5,312c5r2,10428,
B6,315c1r2,22832,
B7,319c4r1,8075,
B8,320c3r2,4031,
B9,,,
B10,,,
B11,,,
B12,,,
C1,std,10843,2.5
C2,std,10664,2.5
C3,301c3r1,14810,
C4,305c5r1,6152,
C5,314c1r1,4902,
C6,315c2r1,9670,
C7,319c5r1,7788,
C8,,,
C9,,,
C10,,,
C11,,,
C12,,,
D1,std,5517,1.25
D2,std,5146,1.25
D3,301c4r1,7563,
D4,305c5r2,8071,
D5,314c2r1,11171,
D6,315c2r2,7675,
D7,319c5r2,8973,
D8,,,
D9,,,
D10,,,
D11,,,
D12,,,
E1,std,2806,0.625
E2,std,2302,0.625
E3,301c5r1,5851,
E4,312c1r1,16872,
E5,314c3r1,9799,
E6,315c3r1,8586,
E7,320c1r1,5601,
E8,,,
E9,,,
E10,,,
E11,,,
E12,,,
F1,std,1488,0.3125
F2,std,1166,0.3125
F3,301c5r2,9554,
F4,312c2r1,9268,
F5,314c4r1,6653,
F6,315c3r2,5563,
F7,320c1r2,5594,
F8,,,
F9,,,
F10,,,
F11,,,
F12,,,
G1,std,921,0.156
G2,std,579,0.156
G3,305c1r1,6548,
G4,312c3r1,1504,
G5,314c5r1,12464,
G6,319c1r1,15495,
G7,320c2r1,3466,
G8,,,
G9,,,
G10,,,
G11,,,
G12,,,
H1,std,33,0
H2,std,35,0
H3,305c2r1,12295,
H4,312c4r1,6941,
H5,314c5r2,8315,
H6,319c2r1,1506,
H7,320c2r2,5045,
H8,,,
H9,,,
H10,,,
H11,,,
H12,,,
