Well,Sample,Intensity,Concentration
A1,std,44953,10
A2,std,41816,10
A3,305c1r1,56,
A4,301c3r1,4702,
A5,312c5r1,71,
A6,315c1r1,82,
A7,320c2r1,453,
A8,,34,
A9,,14,
A10,,13,
A11,319c5r1,133,
A12,319c5r2,160,
B1,std,22035,5
B2,std,20385,5
B3,305c2r1,83,
B4,301c4r1,132,
B5,312c5r2,162,
B6,315c1r2,139,
B7,320c2r2,345,
B8,,38,
B9,,14,
B10,,12,
B11,,12,
B12,,13,
C1,,4195,2.5
C2,,3146,2.5
C3,305c3r1,72,
C4,301c5r1,76,
C5,314c1r1,96,
C6,315c2r1,70,
C7,320c3r1,820,
C8,,31,
C9,,15,
C10,,11,
C11,,13,
C12,,15,
D1,std,1121,1.25
D2,std,1185,1.25
D3,305c4r1,126,
D4,301c5r2,85,
D5,314c2r1,75,
D6,315c2r2,97,
D7,320c3r2,1066,
D8,,30,
D9,,14,
D10,,14,
D11,,13,
D12,,14,
E1,std,678,0.625
E2,std,576,0.625
E3,305c5r1,61,
E4,312c1r1,118,
E5,314c3r1,138,
E6,315c3r1,123,
E7,319c1r1,532,
E8,,30,
E9,,14,
E10,,14,
E11,,13,
E12,,13,
F1,std,440,0.3125
F2,std,595,0.3125
F3,305c5r2,1000,
F4,312c2r1,115,
F5,314c4r1,157,
F6,315c3r2,145,
F7,319c2r1,309,
F8,,21,
F9,,16,
F10,,13,
F11,,16,
F12,,14,
G1,std,60,0.156
G2,std,55,0.156
G3,301c1r1,79,
G4,312c3r1,95,
G5,314c5r1,201,
G6,320c1r1,143,
G7,319c3r1,906,
G8,,41,
G9,,13,
G10,,14,
G11,,14,
G12,,12,
H1,std,50,0
H2,std,44,0
H3,301c2r1,103,
H4,312c4r1,97,
H5,314c5r2,5119,
H6,320c1r2,161,
H7,319c4r1,1366,
H8,,40,
H9,,16,
H10,,16,
H11,,14,
H12,,13,
